Epoch 1160 | Total: 3.51e-01 | Phys: 1.33e-05 | Data: 1.83e-01 | IC: 3.77e-03 | Phys/Data: 7.27e-05
Epoch 1170 | Total: 3.68e-01 | Phys: 8.39e-06 | Data: 1.63e-01 | IC: 3.16e-03 | Phys/Data: 5.15e-05
Epoch 1180 | Total: 9.88e-01 | Phys: 1.04e-05 | Data: 1.15e-01 | IC: 1.80e-02 | Phys/Data: 9.01e-05
Epoch 1190 | Total: 5.40e-01 | Phys: 1.36e-05 | Data: 1.14e-01 | IC: 4.64e-03 | Phys/Data: 1.19e-04
Epoch 1200 | Total: 3.21e-01 | Phys: 1.24e-05 | Data: 1.37e-01 | IC: 4.70e-03 | Phys/Data: 9.03e-05
Epoch 1210 | Total: 5.40e-01 | Phys: 1.34e-05 | Data: 1.05e-01 | IC: 9.08e-03 | Phys/Data: 1.28e-04
Epoch 1220 | Total: 3.06e-01 | Phys: 8.98e-06 | Data: 1.37e-01 | IC: 4.33e-03 | Phys/Data: 6.53e-05
Epoch 1230 | Total: 5.60e-01 | Phys: 7.41e-06 | Data: 1.50e-01 | IC: 8.02e-03 | Phys/Data: 4.94e-05
Epoch 1240 | Total: 4.53e-01 | Phys: 1.31e-05 | Data: 1.60e-01 | IC: 6.86e-03 | Phys/Data: 8.24e-05
Epoch 1250 | Total: 5.37e-01 | Phys: 1.17e-05 | Data: 1.36e-01 | IC: 6.05e-03 | Phys/Data: 8.58e-05
Epoch 1260 | Total: 5.63e-01 | Phys: 1.67e-05 | Data: 1.33e-01 | IC: 6.71e-03 | Phys/Data: 1.25e-04
Epoch 1270 | Total: 4.80e-01 | Phys: 1.19e-05 | Data: 1.42e-01 | IC: 8.18e-03 | Phys/Data: 8.38e-05
Epoch 1280 | Total: 5.29e-01 | Phys: 1.05e-05 | Data: 9.83e-02 | IC: 9.37e-03 | Phys/Data: 1.07e-04
Epoch 1290 | Total: 2.75e-01 | Phys: 1.16e-05 | Data: 1.27e-01 | IC: 3.47e-03 | Phys/Data: 9.13e-05
Epoch 1300 | Total: 4.82e-01 | Phys: 1.40e-05 | Data: 9.81e-02 | IC: 6.54e-03 | Phys/Data: 1.43e-04
Epoch 1310 | Total: 4.80e-01 | Phys: 1.47e-05 | Data: 1.22e-01 | IC: 7.96e-03 | Phys/Data: 1.20e-04
Epoch 1320 | Total: 4.29e-01 | Phys: 1.43e-05 | Data: 1.19e-01 | IC: 6.16e-03 | Phys/Data: 1.20e-04
Epoch 1330 | Total: 6.87e-01 | Phys: 1.54e-05 | Data: 1.41e-01 | IC: 9.36e-03 | Phys/Data: 1.10e-04
Epoch 1340 | Total: 4.21e-01 | Phys: 1.36e-05 | Data: 1.31e-01 | IC: 6.69e-03 | Phys/Data: 1.03e-04
Epoch 1350 | Total: 4.57e-01 | Phys: 1.02e-05 | Data: 1.49e-01 | IC: 6.87e-03 | Phys/Data: 6.83e-05
Epoch 1360 | Total: 3.53e-01 | Phys: 8.86e-06 | Data: 9.71e-02 | IC: 5.34e-03 | Phys/Data: 9.13e-05
Epoch 1370 | Total: 4.18e-01 | Phys: 9.41e-06 | Data: 8.60e-02 | IC: 5.14e-03 | Phys/Data: 1.09e-04
Epoch 1380 | Total: 2.08e-01 | Phys: 1.14e-05 | Data: 9.49e-02 | IC: 3.11e-03 | Phys/Data: 1.20e-04
Epoch 1390 | Total: 5.29e-01 | Phys: 1.32e-05 | Data: 9.88e-02 | IC: 8.13e-03 | Phys/Data: 1.33e-04
Epoch 1400 | Total: 4.73e-01 | Phys: 1.19e-05 | Data: 1.11e-01 | IC: 5.04e-03 | Phys/Data: 1.07e-04
Epoch 1410 | Total: 2.72e-01 | Phys: 1.07e-05 | Data: 1.13e-01 | IC: 1.83e-03 | Phys/Data: 9.46e-05
Epoch 1420 | Total: 4.96e-01 | Phys: 1.30e-05 | Data: 9.09e-02 | IC: 7.29e-03 | Phys/Data: 1.43e-04
Epoch 1430 | Total: 3.73e-01 | Phys: 1.25e-05 | Data: 9.44e-02 | IC: 5.96e-03 | Phys/Data: 1.32e-04
Epoch 1440 | Total: 5.56e-01 | Phys: 1.00e-05 | Data: 9.02e-02 | IC: 9.63e-03 | Phys/Data: 1.11e-04
Epoch 1450 | Total: 4.30e-01 | Phys: 2.70e-05 | Data: 8.02e-02 | IC: 6.26e-03 | Phys/Data: 3.36e-04
Epoch 1460 | Total: 2.77e-01 | Phys: 1.43e-05 | Data: 1.43e-01 | IC: 2.53e-03 | Phys/Data: 1.00e-04
Epoch 1470 | Total: 3.83e-01 | Phys: 1.30e-05 | Data: 9.48e-02 | IC: 6.53e-03 | Phys/Data: 1.37e-04
Epoch 1480 | Total: 3.21e-01 | Phys: 1.17e-05 | Data: 1.07e-01 | IC: 4.23e-03 | Phys/Data: 1.09e-04
Epoch 1490 | Total: 5.06e-01 | Phys: 1.17e-05 | Data: 8.67e-02 | IC: 4.32e-03 | Phys/Data: 1.35e-04
Epoch 1500 | Total: 6.64e-01 | Phys: 9.81e-06 | Data: 1.16e-01 | IC: 1.18e-02 | Phys/Data: 8.45e-05
Epoch 1510 | Total: 3.83e-01 | Phys: 5.10e-05 | Data: 8.35e-02 | IC: 4.42e-03 | Phys/Data: 6.11e-04
Epoch 1520 | Total: 1.30e-01 | Phys: 1.13e-05 | Data: 8.76e-02 | IC: 1.58e-03 | Phys/Data: 1.29e-04
Epoch 1530 | Total: 2.84e-01 | Phys: 1.39e-05 | Data: 6.78e-02 | IC: 4.34e-03 | Phys/Data: 2.06e-04
Epoch 1540 | Total: 4.60e-01 | Phys: 1.05e-05 | Data: 7.59e-02 | IC: 8.03e-03 | Phys/Data: 1.38e-04
Epoch 1550 | Total: 2.83e-01 | Phys: 1.22e-05 | Data: 8.26e-02 | IC: 4.41e-03 | Phys/Data: 1.48e-04
Epoch 1560 | Total: 5.47e-01 | Phys: 9.71e-06 | Data: 8.01e-02 | IC: 9.37e-03 | Phys/Data: 1.21e-04
Epoch 1570 | Total: 3.13e-01 | Phys: 1.33e-05 | Data: 1.04e-01 | IC: 4.99e-03 | Phys/Data: 1.29e-04
Epoch 1580 | Total: 1.32e-01 | Phys: 1.32e-05 | Data: 6.18e-02 | IC: 1.30e-03 | Phys/Data: 2.13e-04
Epoch 1590 | Total: 3.21e-01 | Phys: 1.16e-05 | Data: 6.67e-02 | IC: 5.33e-03 | Phys/Data: 1.73e-04
Epoch 1600 | Total: 1.75e-01 | Phys: 1.13e-05 | Data: 7.24e-02 | IC: 1.84e-03 | Phys/Data: 1.56e-04
Epoch 1610 | Total: 3.47e-01 | Phys: 1.78e-05 | Data: 1.00e-01 | IC: 4.28e-03 | Phys/Data: 1.77e-04
Epoch 1620 | Total: 2.72e-01 | Phys: 1.09e-05 | Data: 7.55e-02 | IC: 4.42e-03 | Phys/Data: 1.44e-04
Epoch 1630 | Total: 3.17e-01 | Phys: 1.24e-05 | Data: 7.02e-02 | IC: 5.32e-03 | Phys/Data: 1.76e-04
Epoch 1640 | Total: 3.29e-01 | Phys: 8.78e-06 | Data: 5.86e-02 | IC: 5.86e-03 | Phys/Data: 1.50e-04
Epoch 1650 | Total: 2.60e-01 | Phys: 1.20e-05 | Data: 6.01e-02 | IC: 3.33e-03 | Phys/Data: 2.00e-04
Epoch 1660 | Total: 1.84e-01 | Phys: 1.16e-05 | Data: 5.84e-02 | IC: 2.48e-03 | Phys/Data: 1.98e-04
Epoch 1670 | Total: 2.50e-01 | Phys: 1.35e-05 | Data: 5.97e-02 | IC: 4.07e-03 | Phys/Data: 2.26e-04
Epoch 1680 | Total: 1.71e-01 | Phys: 1.27e-05 | Data: 5.01e-02 | IC: 2.41e-03 | Phys/Data: 2.53e-04
Epoch 1690 | Total: 1.98e-01 | Phys: 3.60e-05 | Data: 5.04e-02 | IC: 1.80e-03 | Phys/Data: 7.14e-04
Epoch 1700 | Total: 2.23e-01 | Phys: 1.51e-05 | Data: 5.44e-02 | IC: 3.24e-03 | Phys/Data: 2.78e-04
